[aist#0:0/pcm_s16le @ 0000020d101f3c00] Guessed Channel Layout: mono
Input #0, wav, from 'C:\Users\Administrator\Desktop\hackerton\happycall-ralphthon\.local\pc2-n02-m2-pause-v1-recheck\CASE-0002-units-B-pause020.wav':
  Duration: 00:00:17.90, bitrate: 384 kb/s
  Stream #0:0: Audio: pcm_s16le ([1][0][0][0] / 0x0001), 24000 Hz, mono, s16, 384 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (pcm_s16le (native) -> pcm_s16le (native))
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.0999583  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -inf dBFS  TPK:  -inf dBFS
Output #0, null, to 'pipe:':
  Metadata:
    encoder         : Lavf61.7.100
  Stream #0:0: Audio: pcm_s16le, 24000 Hz, mono, s16, 384 kb/s
      Metadata:
        encoder         : Lavc61.19.100 pcm_s16le
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.599958   TARGET:-23 LUFS    M: -18.9 S: -19.7     I: -18.2 LUFS       LRA:   4.8 LU  FTPK:  -6.5 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.699958   TARGET:-23 LUFS    M: -19.0 S: -19.7     I: -18.2 LUFS       LRA:   4.8 LU  FTPK: -13.1 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.799958   TARGET:-23 LUFS    M: -19.5 S: -19.7     I: -18.2 LUFS       LRA:   4.8 LU  FTPK: -33.1 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.899958   TARGET:-23 LUFS    M: -25.6 S: -19.8     I: -18.3 LUFS       LRA:   4.8 LU  FTPK: -55.4 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.999958   TARGET:-23 LUFS    M: -34.4 S: -20.0     I: -18.3 LUFS       LRA:   4.8 LU  FTPK: -54.6 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.099958   TARGET:-23 LUFS    M: -55.9 S: -20.1     I: -18.3 LUFS       LRA:   4.8 LU  FTPK: -56.5 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.199958   TARGET:-23 LUFS    M: -75.6 S: -20.1     I: -18.3 LUFS       LRA:   4.8 LU  FTPK: -57.8 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.299958   TARGET:-23 LUFS    M: -33.2 S: -20.1     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -5.6 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.399958   TARGET:-23 LUFS    M: -22.7 S: -19.8     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -2.7 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.499958   TARGET:-23 LUFS    M: -19.9 S: -19.6     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -5.9 dBFS  TPK:  -2.4 dBFS
